Logging to logs/selfsup_mamba_20251022-093745
GPU is available
Using device: cuda
training lstm
[01] train=3.8677e-01 | val=4.6694e-01 | L=1.04e-01 E=1.55e-02 Dyn=3.48e+00 | eig-ratio-L2=2.621e-01 axis-align=0.831
[02] train=3.7967e-01 | val=4.6956e-01 | L=1.03e-01 E=1.53e-02 Dyn=3.51e+00 | eig-ratio-L2=2.716e-01 axis-align=0.820
[03] train=3.7796e-01 | val=4.6911e-01 | L=1.03e-01 E=1.56e-02 Dyn=3.51e+00 | eig-ratio-L2=2.617e-01 axis-align=0.823
[04] train=3.7409e-01 | val=4.6325e-01 | L=1.02e-01 E=1.54e-02 Dyn=3.46e+00 | eig-ratio-L2=2.662e-01 axis-align=0.823
[05] train=3.7289e-01 | val=4.6087e-01 | L=1.02e-01 E=1.62e-02 Dyn=3.43e+00 | eig-ratio-L2=2.566e-01 axis-align=0.824
[06] train=3.6492e-01 | val=4.5357e-01 | L=1.00e-01 E=1.63e-02 Dyn=3.37e+00 | eig-ratio-L2=2.550e-01 axis-align=0.829
[07] train=3.5190e-01 | val=4.4380e-01 | L=9.78e-02 E=1.68e-02 Dyn=3.29e+00 | eig-ratio-L2=2.499e-01 axis-align=0.832
[08] train=3.3203e-01 | val=4.1173e-01 | L=9.43e-02 E=1.64e-02 Dyn=3.01e+00 | eig-ratio-L2=2.419e-01 axis-align=0.842
[09] train=3.1629e-01 | val=3.8489e-01 | L=9.18e-02 E=1.72e-02 Dyn=2.76e+00 | eig-ratio-L2=2.331e-01 axis-align=0.838
[10] train=2.9013e-01 | val=3.5975e-01 | L=8.92e-02 E=1.95e-02 Dyn=2.51e+00 | eig-ratio-L2=2.179e-01 axis-align=0.834
[11] train=2.7195e-01 | val=3.1797e-01 | L=8.69e-02 E=1.96e-02 Dyn=2.11e+00 | eig-ratio-L2=2.059e-01 axis-align=0.839
[12] train=2.5504e-01 | val=2.9111e-01 | L=8.89e-02 E=2.45e-02 Dyn=1.78e+00 | eig-ratio-L2=1.895e-01 axis-align=0.847
[13] train=2.2674e-01 | val=2.7599e-01 | L=8.57e-02 E=2.52e-02 Dyn=1.65e+00 | eig-ratio-L2=1.865e-01 axis-align=0.859
[14] train=2.0488e-01 | val=2.6005e-01 | L=8.47e-02 E=2.40e-02 Dyn=1.51e+00 | eig-ratio-L2=1.850e-01 axis-align=0.855
[15] train=1.9002e-01 | val=2.3941e-01 | L=8.32e-02 E=2.36e-02 Dyn=1.33e+00 | eig-ratio-L2=1.774e-01 axis-align=0.859
[16] train=1.8068e-01 | val=2.3643e-01 | L=8.17e-02 E=2.45e-02 Dyn=1.30e+00 | eig-ratio-L2=1.786e-01 axis-align=0.862
[17] train=1.7907e-01 | val=2.4195e-01 | L=8.51e-02 E=2.72e-02 Dyn=1.30e+00 | eig-ratio-L2=1.752e-01 axis-align=0.860
[18] train=1.6326e-01 | val=2.2531e-01 | L=8.34e-02 E=2.66e-02 Dyn=1.15e+00 | eig-ratio-L2=1.707e-01 axis-align=0.861
