Logging to logs/selfsup_mamba_20251022-151808
GPU is available
Using device: cuda
training lstm
[01] train=2.6955e+00 | val=3.3092e+00 | L=1.05e-01 E=1.61e-02 Dyn=3.19e+01 | eig-ratio-L2=2.561e-01 axis-align=0.829
[02] train=2.6748e+00 | val=3.3140e+00 | L=1.05e-01 E=1.56e-02 Dyn=3.19e+01 | eig-ratio-L2=2.634e-01 axis-align=0.832
[03] train=2.6688e+00 | val=3.3119e+00 | L=1.04e-01 E=1.56e-02 Dyn=3.19e+01 | eig-ratio-L2=2.696e-01 axis-align=0.834
[04] train=2.6682e+00 | val=3.2947e+00 | L=1.04e-01 E=1.53e-02 Dyn=3.18e+01 | eig-ratio-L2=2.691e-01 axis-align=0.824
[05] train=2.6444e+00 | val=3.2600e+00 | L=1.03e-01 E=1.53e-02 Dyn=3.14e+01 | eig-ratio-L2=2.658e-01 axis-align=0.828
[06] train=2.6186e+00 | val=3.1708e+00 | L=1.03e-01 E=1.48e-02 Dyn=3.05e+01 | eig-ratio-L2=2.621e-01 axis-align=0.821
[07] train=2.5219e+00 | val=2.7888e+00 | L=1.01e-01 E=1.61e-02 Dyn=2.67e+01 | eig-ratio-L2=2.300e-01 axis-align=0.831
[08] train=2.3295e+00 | val=2.4264e+00 | L=1.01e-01 E=1.85e-02 Dyn=2.31e+01 | eig-ratio-L2=2.093e-01 axis-align=0.841
[09] train=2.1507e+00 | val=2.2060e+00 | L=1.05e-01 E=2.47e-02 Dyn=2.08e+01 | eig-ratio-L2=1.871e-01 axis-align=0.842
[10] train=1.9012e+00 | val=1.8805e+00 | L=1.08e-01 E=3.05e-02 Dyn=1.74e+01 | eig-ratio-L2=1.711e-01 axis-align=0.839
[11] train=1.7188e+00 | val=1.7896e+00 | L=1.02e-01 E=3.20e-02 Dyn=1.66e+01 | eig-ratio-L2=1.678e-01 axis-align=0.850
[12] train=1.5663e+00 | val=1.6830e+00 | L=1.08e-01 E=3.47e-02 Dyn=1.54e+01 | eig-ratio-L2=1.603e-01 axis-align=0.850
[13] train=1.4449e+00 | val=1.7012e+00 | L=1.06e-01 E=3.59e-02 Dyn=1.56e+01 | eig-ratio-L2=1.626e-01 axis-align=0.852
[14] train=1.2923e+00 | val=1.6374e+00 | L=1.04e-01 E=3.60e-02 Dyn=1.50e+01 | eig-ratio-L2=1.591e-01 axis-align=0.856
[15] train=1.2036e+00 | val=1.6458e+00 | L=1.15e-01 E=4.01e-02 Dyn=1.49e+01 | eig-ratio-L2=1.509e-01 axis-align=0.851
[16] train=1.2886e+00 | val=1.5369e+00 | L=1.07e-01 E=3.69e-02 Dyn=1.39e+01 | eig-ratio-L2=1.560e-01 axis-align=0.861
[17] train=1.2137e+00 | val=1.5257e+00 | L=1.02e-01 E=3.77e-02 Dyn=1.39e+01 | eig-ratio-L2=1.573e-01 axis-align=0.856
[18] train=1.1876e+00 | val=1.5069e+00 | L=1.05e-01 E=3.37e-02 Dyn=1.37e+01 | eig-ratio-L2=1.554e-01 axis-align=0.859
[19] train=1.0569e+00 | val=1.5719e+00 | L=1.05e-01 E=3.35e-02 Dyn=1.43e+01 | eig-ratio-L2=1.528e-01 axis-align=0.857
[20] train=9.8012e-01 | val=1.5217e+00 | L=1.01e-01 E=3.10e-02 Dyn=1.39e+01 | eig-ratio-L2=1.492e-01 axis-align=0.864
[21] train=9.1035e-01 | val=1.4143e+00 | L=9.77e-02 E=3.31e-02 Dyn=1.28e+01 | eig-ratio-L2=1.514e-01 axis-align=0.863
[22] train=8.7950e-01 | val=1.3830e+00 | L=9.89e-02 E=2.82e-02 Dyn=1.26e+01 | eig-ratio-L2=1.521e-01 axis-align=0.868
[23] train=8.3004e-01 | val=1.3054e+00 | L=9.77e-02 E=2.80e-02 Dyn=1.18e+01 | eig-ratio-L2=1.518e-01 axis-align=0.867
[24] train=7.8094e-01 | val=1.3782e+00 | L=9.66e-02 E=2.64e-02 Dyn=1.26e+01 | eig-ratio-L2=1.507e-01 axis-align=0.872
[25] train=7.8955e-01 | val=1.5269e+00 | L=1.01e-01 E=2.50e-02 Dyn=1.40e+01 | eig-ratio-L2=1.506e-01 axis-align=0.868
[26] train=8.1271e-01 | val=1.2829e+00 | L=9.78e-02 E=2.34e-02 Dyn=1.16e+01 | eig-ratio-L2=1.481e-01 axis-align=0.864
[27] train=7.2753e-01 | val=1.2667e+00 | L=9.30e-02 E=2.28e-02 Dyn=1.15e+01 | eig-ratio-L2=1.449e-01 axis-align=0.870
[28] train=7.0251e-01 | val=1.2599e+00 | L=9.77e-02 E=2.26e-02 Dyn=1.14e+01 | eig-ratio-L2=1.460e-01 axis-align=0.870
[29] train=6.9985e-01 | val=1.3387e+00 | L=9.81e-02 E=2.44e-02 Dyn=1.22e+01 | eig-ratio-L2=1.457e-01 axis-align=0.871
[30] train=6.6681e-01 | val=1.3510e+00 | L=9.61e-02 E=2.31e-02 Dyn=1.23e+01 | eig-ratio-L2=1.428e-01 axis-align=0.873
[31] train=7.0561e-01 | val=1.2618e+00 | L=9.59e-02 E=2.31e-02 Dyn=1.14e+01 | eig-ratio-L2=1.418e-01 axis-align=0.874
[32] train=6.8125e-01 | val=1.3455e+00 | L=9.66e-02 E=2.50e-02 Dyn=1.22e+01 | eig-ratio-L2=1.440e-01 axis-align=0.871
[33] train=6.8745e-01 | val=1.3804e+00 | L=9.24e-02 E=2.26e-02 Dyn=1.27e+01 | eig-ratio-L2=1.437e-01 axis-align=0.875
[34] train=6.2226e-01 | val=1.3514e+00 | L=9.24e-02 E=2.19e-02 Dyn=1.24e+01 | eig-ratio-L2=1.422e-01 axis-align=0.873
[35] train=6.3032e-01 | val=1.4415e+00 | L=9.89e-02 E=2.53e-02 Dyn=1.32e+01 | eig-ratio-L2=1.381e-01 axis-align=0.873
