Logging to logs/selfsup_mamba_20251031-143037
GPU is available
Loaded datasets from data/rand/2000/self-sup-
training mamba
[001] steps=250 train=8.1696e+00 | val=6.1248e+00 (Δ=inf) | L=8.61e-02 E=5.79e+00 Dyn=2.47e+00 | eigL2=2.425e-01 axis=0.828 | lr=2.00e-02
[002] steps=500 train=6.4072e+00 | val=6.3195e+00 (Δ=-3.18e-02) | L=8.93e-02 E=5.99e+00 Dyn=2.45e+00 | eigL2=2.618e-01 axis=0.828 | lr=2.00e-02
[003] steps=750 train=1.1720e+01 | val=3.0406e+01 (Δ=-3.81e+00) | L=2.55e-01 E=2.98e+01 Dyn=3.83e+00 | eigL2=2.450e-01 axis=0.827 | lr=2.00e-02
[004] steps=1000 train=3.6288e+01 | val=2.8415e+01 (Δ=6.55e-02) | L=2.46e-01 E=2.78e+01 Dyn=3.78e+00 | eigL2=2.641e-01 axis=0.830 | lr=2.00e-02
[005] steps=1250 train=1.0357e+01 | val=0.0000e+00 (Δ=1.00e+00) | L=0.00e+00 E=0.00e+00 Dyn=0.00e+00 | eigL2=2.849e-01 axis=0.824 | lr=2.00e-02
[006] steps=1500 train=0.0000e+00 | val=0.0000e+00 (Δ=0.00e+00) | L=0.00e+00 E=0.00e+00 Dyn=0.00e+00 | eigL2=2.849e-01 axis=0.824 | lr=2.00e-02
[007] steps=1750 train=0.0000e+00 | val=0.0000e+00 (Δ=0.00e+00) | L=0.00e+00 E=0.00e+00 Dyn=0.00e+00 | eigL2=2.849e-01 axis=0.824 | lr=2.00e-02
[008] steps=2000 train=0.0000e+00 | val=0.0000e+00 (Δ=0.00e+00) | L=0.00e+00 E=0.00e+00 Dyn=0.00e+00 | eigL2=2.849e-01 axis=0.824 | lr=2.00e-02
[009] steps=2250 train=0.0000e+00 | val=0.0000e+00 (Δ=0.00e+00) | L=0.00e+00 E=0.00e+00 Dyn=0.00e+00 | eigL2=2.849e-01 axis=0.824 | lr=1.00e-02
[010] steps=2500 train=0.0000e+00 | val=0.0000e+00 (Δ=0.00e+00) | L=0.00e+00 E=0.00e+00 Dyn=0.00e+00 | eigL2=2.849e-01 axis=0.824 | lr=1.00e-02
[011] steps=2750 train=0.0000e+00 | val=0.0000e+00 (Δ=0.00e+00) | L=0.00e+00 E=0.00e+00 Dyn=0.00e+00 | eigL2=2.849e-01 axis=0.824 | lr=1.00e-02
[012] steps=3000 train=0.0000e+00 | val=0.0000e+00 (Δ=0.00e+00) | L=0.00e+00 E=0.00e+00 Dyn=0.00e+00 | eigL2=2.849e-01 axis=0.824 | lr=1.00e-02
[013] steps=3250 train=0.0000e+00 | val=0.0000e+00 (Δ=0.00e+00) | L=0.00e+00 E=0.00e+00 Dyn=0.00e+00 | eigL2=2.849e-01 axis=0.824 | lr=5.00e-03
[014] steps=3500 train=0.0000e+00 | val=0.0000e+00 (Δ=0.00e+00) | L=0.00e+00 E=0.00e+00 Dyn=0.00e+00 | eigL2=2.849e-01 axis=0.824 | lr=5.00e-03
[015] steps=3750 train=0.0000e+00 | val=0.0000e+00 (Δ=0.00e+00) | L=0.00e+00 E=0.00e+00 Dyn=0.00e+00 | eigL2=2.849e-01 axis=0.824 | lr=5.00e-03
[016] steps=4000 train=0.0000e+00 | val=0.0000e+00 (Δ=0.00e+00) | L=0.00e+00 E=0.00e+00 Dyn=0.00e+00 | eigL2=2.849e-01 axis=0.824 | lr=5.00e-03
[017] steps=4250 train=0.0000e+00 | val=0.0000e+00 (Δ=0.00e+00) | L=0.00e+00 E=0.00e+00 Dyn=0.00e+00 | eigL2=2.849e-01 axis=0.824 | lr=2.50e-03
